227, 1545, 2
563, 976, 3
244, 310, 2
827, 1351, 11
289, 1116, 2
1381, 1013, 3
609, 245, 2
1839, 1711, 3
68, 655, 2
723, 994, 2
1, 491, 3
319, 1634, 3
1808, 444, 7
476, 1686, 2
472, 1623, 5
25, 320, 3
1512, 165, 8
1500, 381, 2
714, 462, 2
1105, 790, 6
209, 1116, 3
1389, 412, 2
1331, 472, 2
1533, 1533, 2
319, 90, 2
1387, 1386, 2
703, 710, 2
802, 1609, 9
401, 70, 3
1244, 1381, 2
1686, 1825, 3
169, 1240, 2
1356, 1355, 2
1741, 1034, 2
821, 618, 2
354, 693, 2
1596, 1381, 2
495, 1658, 2
284, 1730, 3
547, 1258, 2
1270, 572, 2
1454, 280, 2
1237, 1474, 2
1864, 340, 4
795, 319, 2
920, 90, 44
976, 182, 2
819, 1244, 2
1180, 1775, 2
13, 111, 4
886, 717, 2
1200, 723, 2
1012, 1215, 2
1295, 759, 2
317, 495, 2
1499, 1830, 2
1732, 969, 3
100, 1284, 2
723, 398, 2
519, 491, 3
9, 446, 14
1389, 1128, 2
63, 1117, 2
432, 481, 5
1528, 1675, 2
139, 652, 2
1849, 495, 3
1, 642, 2
480, 354, 6
1682, 1526, 2
1129, 1682, 4
224, 363, 2
877, 1755, 2
1239, 1763, 3
1022, 1493, 3
1161, 28, 2
526, 1664, 2
139, 217, 2
778, 899, 2
397, 920, 3
941, 1560, 2
562, 314, 2
428, 1837, 2
723, 766, 2
1304, 1761, 2
1158, 456, 2
1538, 22, 2
1830, 881, 2
1591, 472, 2
955, 1455, 2
244, 126, 2
790, 969, 2
480, 9, 2
1440, 1241, 15
1682, 1051, 2
317, 484, 3
661, 1837, 4
804, 920, 2
188, 668, 3
1586, 801, 2
319, 1171, 3
1591, 863, 2
1631, 1062, 2
345, 21, 3
1856, 170, 2
920, 722, 7
645, 137, 2
1416, 25, 3
779, 1506, 2
1831, 1176, 2
1256, 1241, 4
881, 1080, 2
1365, 159, 3
1097, 1436, 4
1623, 693, 2
1170, 76, 2
1442, 60, 3
1416, 354, 23
1507, 116, 2
1416, 1241, 7
1618, 1357, 2
744, 1630, 2
996, 297, 2
1726, 80, 2
1051, 1416, 2
472, 1785, 3
651, 920, 4
1166, 1531, 2
643, 483, 4
571, 319, 2
1830, 1020, 4
328, 1434, 4
300, 1157, 9
229, 1607, 3
1298, 175, 2
314, 664, 2
539, 319, 2
985, 1394, 2
1417, 319, 2
503, 1506, 2
1785, 509, 2
320, 40, 4
1806, 480, 2
1668, 1843, 2
1348, 451, 2
764, 827, 2
1558, 179, 3
1, 532, 2
74, 798, 7
170, 1795, 2
773, 758, 2
229, 1223, 2
978, 1618, 4
90, 1283, 2
244, 1105, 3
822, 540, 2
244, 1130, 2
594, 480, 28
1010, 1296, 2
244, 444, 2
602, 480, 2
184, 364, 2
1812, 1416, 2
161, 0, 2
1414, 922, 3
1704, 1707, 4
1259, 345, 2
908, 1609, 2
1602, 1602, 2
1746, 108, 2
1116, 244, 3
530, 1835, 4
1719, 315, 2
818, 639, 2
495, 496, 2
117, 1260, 2
616, 716, 3
1302, 1103, 2
1079, 495, 2
706, 1537, 10
563, 526, 2
183, 966, 2
28, 1136, 2
1009, 479, 2
1068, 1579, 2
1171, 319, 12
1841, 90, 2
495, 1390, 10
968, 1095, 2
319, 1727, 4
1168, 968, 2
1416, 432, 7
326, 1409, 3
1828, 67, 3
634, 68, 2
1262, 597, 2
101, 682, 2
1278, 340, 2
717, 686, 4
117, 242, 2
1675, 319, 3
971, 1007, 3
146, 495, 3
1117, 730, 2
1719, 1038, 2
87, 627, 2
1456, 653, 3
117, 1499, 4
1194, 1256, 3
846, 1543, 2
432, 1211, 2
1770, 1227, 2
1, 1359, 4
466, 245, 2
1618, 1359, 2
985, 1493, 2
550, 594, 3
1303, 1824, 2
309, 1830, 2
462, 1608, 2
495, 340, 2
1837, 1271, 3
495, 1042, 2
401, 1457, 4
1081, 344, 2
538, 302, 2
563, 1814, 2
1299, 0, 2
319, 1802, 2
90, 1459, 3
1486, 389, 12
1181, 216, 2
1365, 1260, 3
784, 1031, 4
495, 627, 2
905, 742, 3
